sample_id,age,age2,sex,eth1,eth2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_1,feature_2,y
s33,0.337389,0.113831,1,0,0,-0.935027,-0.540267,0.0863019,0.00138763,0.386726,0.0961224,1.36761,0.423329,2.45815,0.0997782,1.20892,-0.775099,0
s34,-0.0144838,0.000209779,0,0,0,-0.384253,0.558203,1.21531,0.117955,-0.310308,-0.433566,0.75563,1.16707,1.48813,-1.09057,0.410233,1.1218,0
s35,-1.65565,2.74116,1,0,0,0.152654,3.17761,0.774546,0.727347,-1.96834,-0.134178,0.692036,0.330085,0.637292,-0.444037,0.119927,-0.957026,0
s36,-0.569029,0.323793,1,0,1,-0.589726,-0.59439,0.166014,-0.268855,-0.67409,-0.288836,-0.649171,1.11599,1.46818,1.02903,0.888798,-0.305852,1
s37,1.75321,3.07376,0,1,0,0.532236,-0.454196,-0.243552,-0.067662,-0.808275,-1.03941,0.366136,0.800049,0.366074,0.476323,-0.958746,-0.800793,0
s38,0.928156,0.861473,0,0,0,1.04053,-1.0365,0.0441059,-2.23857,1.93246,-0.0555755,-0.350121,0.837334,0.961114,-1.72135,1.22997,0.397483,0
s39,0.592642,0.351224,1,0,0,1.05107,0.911984,-0.452906,1.02199,0.747406,-2.11624,-0.478747,-0.776879,-1.07083,-1.61576,-1.07638,-0.782378,1
s40,-0.662413,0.438792,1,0,0,1.32182,-1.46164,-1.11462,0.0533965,-0.759568,-0.563906,1.48733,0.79627,0.713314,-0.450105,-0.245,-0.665098,1
s41,-0.806467,0.650389,0,0,0,2.25889,-0.693392,0.968814,-0.165135,-0.232516,-0.231214,1.83293,-1.58887,2.08696,1.05332,-0.0564997,0.0450912,1
s42,0.414145,0.171516,1,0,1,-1.37543,-0.00403506,0.264239,1.29155,-0.883685,0.424071,-2.47681,0.611067,0.705961,0.138404,0.8564,0.351748,0
s43,0.737193,0.543454,1,1,0,1.87945,-2.04948,0.0697143,1.31852,-0.0470842,1.27951,-0.128476,0.819862,0.466093,0.247774,-1.90859,-0.0194529,1
s44,-1.75056,3.06444,0,1,0,-0.767011,0.130506,-0.982556,0.0416154,-1.37539,-1.02481,2.0983,-1.34907,0.37052,-0.268672,-0.86352,0.0173016,0
s45,-0.570935,0.325967,1,1,0,-0.390592,0.315307,-0.479054,-0.861713,0.398495,-1.21034,0.0786168,0.114255,-0.0444452,-1.23488,0.383375,-0.435217,0
s46,0.91775,0.842265,1,0,1,-1.2597,-0.317342,0.200638,-0.693335,1.27568,-1.27811,1.20884,0.313835,1.79172,-0.61391,1.68322,-0.606796,1
s47,-0.927786,0.860787,0,0,1,1.37997,-0.23016,0.783496,0.491451,2.84979,0.426554,0.931209,-1.07663,0.862539,0.418106,0.957426,0.663536,0
s48,-0.198286,0.0393175,0,1,0,1.73761,-0.334428,-0.414312,0.603507,1.18846,-0.402769,0.0139019,0.381876,0.760369,-0.489221,-0.378652,-0.313206,0
s49,-0.843934,0.712224,0,0,1,-0.473602,-0.169959,0.0236328,-1.36134,0.558407,-0.142815,0.975887,0.0425847,2.59886,1.25162,1.46602,-0.854299,1
s50,-0.141877,0.0201291,0,1,0,1.98131,-0.503815,-0.0730233,2.47056,0.891439,0.61961,-0.254946,-0.744632,-0.51054,-0.0631164,-2.35466,0.571295,0
s51,0.343302,0.117856,0,0,0,1.04537,0.0288893,0.444735,0.485006,0.0136369,0.748342,-1.0065,2.45871,0.528951,0.033726,1.44316,3.16345,0
s52,1.22697,1.50545,0,0,0,0.0125035,0.0240696,0.297894,0.762212,0.237385,0.824963,-0.103974,0.317295,0.492707,-1.52008,0.393262,1.3482,1
s53,-1.08495,1.17712,1,0,1,-0.312932,-0.516614,0.114103,-1.50715,-1.44464,0.139934,-0.231187,1.27236,-0.53939,1.61962,-0.267371,0.553089,0
s54,-2.30696,5.32205,1,0,0,1.21684,-0.404123,1.68352,0.0269043,-0.0752102,0.847101,-0.0805472,-0.269283,0.0354418,1.11599,0.212893,-0.475519,1
s55,1.0686,1.14191,1,0,1,-0.114975,2.24933,1.61328,0.40193,0.43736,0.970657,0.458425,-1.06867,-0.324572,-1.52666,-1.86862,0.68721,0
s56,-0.358043,0.128195,1,0,0,0.281035,0.226252,1.02723,-0.498498,0.0748285,0.587987,-0.390591,0.339491,-0.605963,-0.867559,0.00250971,-0.53509,0
s57,-1.0917,1.1918,0,1,0,0.76858,1.62673,0.365443,0.0167942,-2.90078,-1.84358,0.770936,-0.832042,-0.07414,-0.0715947,0.0714729,-1.02973,0
s58,-1.33451,1.78092,0,0,1,-0.435101,1.51811,-0.178489,-0.377766,1.37187,-2.0301,-2.0578,-1.14837,0.212714,-0.79517,1.32155,-0.796542,0
s59,0.516783,0.267064,1,0,1,-0.884512,0.476511,-0.122158,2.32459,0.0694363,-0.0564931,0.169658,0.986014,-1.29197,-0.864511,-0.532946,-3.16054,0
s60,0.497686,0.247692,0,0,0,-0.453601,-0.579421,-2.03585,-0.489995,0.0227502,-1.12299,-1.53008,-0.583431,-0.43242,0.720285,-0.281303,0.828849,0
s61,0.207114,0.0428963,0,0,1,-0.0550157,0.0845761,0.813855,-0.460161,-0.490023,0.273292,1.16002,-1.5341,0.157485,-0.911154,-0.602781,-0.0594348,1
s62,-0.361817,0.130911,1,0,0,2.10596,0.200021,-0.894368,-0.48134,-0.24427,0.551574,0.293904,0.666734,-0.196492,-0.817905,0.303603,-1.18825,0
s63,1.74573,3.04758,1,0,0,0.722756,-0.856237,1.53499,0.465816,-1.74684,-0.368395,1.18025,-1.08145,0.488636,1.22277,-0.347414,0.418889,0
s64,0.188538,0.0355466,0,0,0,1.01443,-0.506036,0.963081,1.46728,0.801994,0.471716,2.0998,-0.759287,-0.666428,1.01898,-0.444197,0.412935,0
s65,0.733156,0.537518,0,0,1,2.41875,-1.48092,-0.909573,-2.3817,0.109768,0.155076,2.05829,-1.42595,1.9272,0.461454,-0.725675,-1.82048,1
s66,-0.196301,0.0385342,0,0,1,1.2499,0.197971,-0.847564,-0.111671,-0.0375552,1.12367,-0.0224044,0.537776,-0.257751,-0.288019,-0.766432,1.41599,0
s67,-1.48408,2.2025,0,0,0,-1.13335,0.336378,-1.97422,-0.512539,-0.360177,0.31961,0.920333,-1.68354,-0.888817,1.40262,-0.420335,1.07507,0
s68,-0.92993,0.86477,0,0,0,0.825515,0.0417954,1.51248,0.658051,-0.811921,0.28874,-0.522212,0.795108,-0.297059,0.0738402,1.58953,0.361498,0
s69,-0.9529,0.908019,1,1,0,-0.913731,-0.803182,0.822879,0.446029,-0.562202,-0.813953,0.306868,-1.17977,-0.197798,-0.125305,2.31084,1.06936,0
s70,-0.50763,0.257688,1,0,0,0.821289,-0.66571,0.349441,0.934127,0.98316,0.684189,-0.107302,-1.27941,-1.25435,-0.136625,1.40667,-0.65833,1
s71,0.391029,0.152904,1,0,1,-1.31101,1.33884,-1.29468,1.55044,-0.987952,-0.507674,0.312352,-0.250993,-0.62855,0.802631,0.0620896,0.0494721,0
s72,-0.260896,0.0680666,0,1,0,1.24047,-1.00256,0.152616,-0.950211,0.246627,1.41504,0.00196885,-1.52758,0.575731,1.5765,-0.601376,0.784014,0
s73,-0.97583,0.952245,1,1,0,1.02613,-0.767857,-0.263185,1.13266,0.949338,0.130676,-0.941881,0.688017,-0.118496,1.48616,0.735178,0.547711,0
s74,0.410075,0.168162,0,1,0,0.283793,-0.898703,0.212352,0.721077,1.61183,0.351141,-0.33578,0.593054,0.968249,0.724388,0.525162,-1.69668,0
s75,1.00806,1.01619,1,0,0,0.785036,-0.196376,0.605581,0.10629,-0.994374,-0.81884,0.0647087,-0.297319,-0.233825,1.51881,1.29258,2.07143,1
s76,0.0220031,0.000484135,1,0,1,-2.41586,0.750528,-0.601459,-0.646595,0.0394541,-1.91162,0.192013,-0.0752426,0.458829,-0.620268,-0.2335,0.635247,1
s77,0.233139,0.0543538,0,1,0,0.0147138,-0.68039,1.00302,-0.0922137,-0.36567,-1.51806,0.0374282,0.245927,-1.20389,-1.5913,-0.691503,-0.905074,1
s78,0.855278,0.7315,0,0,1,0.813576,-0.719615,0.331132,-0.226757,-0.252587,-1.11777,-0.664212,-1.5498,0.654352,0.544829,-0.53823,0.968411,0
s79,1.37249,1.88373,0,0,1,0.72125,2.21205,0.950221,0.411382,0.127072,0.0184221,-0.106154,-1.68387,2.09236,-0.304688,-0.791316,2.45405,1
s80,0.966175,0.933495,0,1,0,-2.01971,1.42962,0.904903,0.213139,1.24939,-0.664386,0.33328,-0.473894,-1.90016,1.30366,0.344516,0.174987,0
s81,0.472795,0.223535,1,0,0,-1.32603,1.48285,-2.1633,1.25495,0.897522,0.405232,-0.736653,-0.340578,0.561677,-0.187914,-0.302396,0.67845,0
s82,-0.601489,0.361789,0,0,1,1.08737,1.28378,0.202234,0.19252,0.396749,0.739418,0.664441,-0.890668,-0.190449,-0.141435,-0.0174642,1.67081,1
s83,-1.17234,1.37439,0,0,1,0.213084,-0.546765,-0.858561,-0.479374,0.549179,0.4205,1.57033,-1.49519,-0.37997,-0.128585,-0.845633,0.905964,0
s84,0.036103,0.00130343,1,0,1,0.0260859,1.33432,0.688357,-1.18994,-1.1252,-0.816578,-1.21703,1.00189,0.718536,0.963829,-0.459499,-1.17835,0
s85,0.317254,0.10065,1,1,0,-0.838249,-1.51403,-1.11635,0.289807,-1.40618,0.549298,-1.32913,-0.287845,1.16356,2.97785,-1.33302,2.00701,0
s86,-0.9192,0.844928,0,1,0,-1.01127,-0.924453,-1.32479,1.32671,1.22059,0.940568,1.6359,-0.107188,1.57267,0.924867,0.184045,-0.57342,1
s87,0.860113,0.739794,1,1,0,-0.926581,0.509141,-0.753834,-0.778144,0.267757,1.13748,1.36234,0.141224,1.15954,0.460256,-0.97757,-1.23834,0
s88,-1.60951,2.59054,0,0,1,0.587801,-0.451313,0.247873,-0.98607,-1.12631,-0.725459,-1.20444,2.15618,0.624015,0.701794,-0.276264,-0.972399,1
s89,0.241173,0.0581643,1,0,1,-0.231454,-0.118245,1.4237,-2.03708,0.280768,-1.27761,-0.150816,-1.84607,-1.80672,1.52368,-0.0503365,-1.36251,0
s90,1.89373,3.58622,1,0,1,-0.569896,0.28966,0.926374,-0.75065,0.163378,1.11378,0.403786,-0.257077,-0.89847,-1.87624,-1.50633,0.349971,0
s91,0.24332,0.0592048,1,1,0,-0.223767,-0.647363,-0.293332,-0.994822,0.231335,-0.365126,1.48643,0.235431,-0.199318,1.31777,-0.446979,-0.899485,1
s92,-0.0684674,0.00468778,1,0,1,0.089027,0.0293079,0.959456,0.151442,-1.26016,-1.57654,-1.56595,-0.785223,-0.289355,-0.68684,-1.48583,0.934336,0
s93,-0.438879,0.192615,0,0,1,-1.06489,-0.75154,-0.588105,1.27417,1.31654,-1.66248,0.7068,1.52138,-1.5376,1.15364,0.712104,-0.811114,1
s94,-1.59973,2.55914,1,0,0,-1.67541,1.27808,0.969355,-1.09875,0.888151,-0.45613,2.12434,0.0834082,2.65635,-0.934845,1.50935,-0.678902,0
s95,2.23473,4.99403,1,0,1,-2.74018,-0.829605,0.470346,2.36256,0.504632,-1.23439,-1.09472,-0.0461098,0.603168,-0.453257,-0.555682,-1.73038,0
s96,0.207222,0.0429409,1,1,0,-0.393965,0.224896,1.18084,-0.644265,1.67885,1.89293,2.07706,2.4229,0.900898,-1.02912,0.337472,0.411295,0
s97,-0.0441428,0.00194859,1,0,1,2.66673,-2.8091,0.955077,-1.38403,1.23731,1.02113,1.0496,1.05717,1.38913,-0.520519,-0.215644,0.471786,0
s98,0.410934,0.168867,0,1,0,0.693236,-0.256142,1.26437,-0.0880557,0.0680882,-2.50437,-1.36636,0.829942,0.504861,-0.431855,1.65225,1.23364,1
s99,0.682186,0.465377,0,1,0,-1.18433,-0.0138759,1.47243,0.744955,-0.457041,0.142066,-0.875371,-0.56656,-0.647063,-0.10866,0.354526,0.678153,0
s100,0.24485,0.0599514,0,0,0,0.149504,-0.141458,-0.223015,-2.44384,0.36242,0.0876375,-1.71493,0.540615,1.85939,-0.685441,1.90555,2.55872,0
s101,-0.690776,0.477171,1,0,0,-0.245,0.164222,-1.09405,2.96408,-0.0226022,1.26579,-1.10668,1.79644,0.717489,-0.389995,0.486545,1.71082,0
s102,-1.94877,3.79772,1,1,0,-0.919468,-1.05067,-0.167937,-1.60302,-0.157692,0.0500236,0.312495,1.48804,-0.445237,2.32434,0.788936,0.0561932,0
s103,-0.260163,0.0676847,0,1,0,0.145891,-0.548034,-0.373495,-0.671181,-0.208326,0.974148,0.25658,1.31064,-0.0230203,0.622334,-1.18873,-0.128861,0
s104,0.648417,0.420445,1,0,0,-0.564119,0.791824,0.897749,0.149921,-1.19155,0.757124,-1.02042,0.484154,-0.868078,0.849214,0.221866,-0.110617,1
s105,1.00483,1.00969,0,0,1,-0.346286,-0.787881,1.18396,-1.4163,0.0916442,-0.804481,-0.366866,1.21924,0.0838408,0.842026,-0.929854,-0.632734,0
s106,-0.601163,0.361397,1,0,0,1.19028,1.51751,1.21,0.883624,1.13315,-0.623299,-1.53905,-0.998477,-1.08563,-1.18553,1.34494,-1.23711,1
s107,0.404957,0.16399,0,1,0,0.058084,0.0699642,0.0047601,-0.256473,0.276267,0.225618,-0.0982182,-0.0596785,-1.10214,0.554464,0.524918,1.70619,0
s108,1.28658,1.6553,0,0,0,0.811686,-1.2537,1.36506,-1.21282,2.33106,1.27915,-0.589714,-0.127254,1.56749,-0.422702,1.21094,-0.158144,0
s109,0.815101,0.66439,0,1,0,1.3566,-3.33306,-1.05979,-0.848202,-0.758326,-0.817371,-2.42498,-0.439561,-0.329983,-1.29848,-0.529923,-0.217232,0
s110,0.443658,0.196833,1,0,0,0.688355,-0.387785,-0.0343306,-1.10077,-0.84217,0.16272,0.179232,0.0120781,0.983865,1.32552,-0.478603,0.934414,1
s111,0.572069,0.327263,1,1,0,-0.550859,-0.412134,-0.462169,-2.03536,-0.0670833,-2.01342,2.61784,-0.817748,-1.38652,0.407189,0.723083,-0.296202,0
s112,-1.06611,1.13659,0,0,0,-0.44253,0.126729,-0.543492,-0.0811181,0.0629818,-0.477975,0.741196,-1.41665,1.3642,-0.237396,-1.02061,1.45634,1
s113,0.473899,0.22458,1,0,0,0.540676,1.38555,0.195922,-0.464686,-0.279197,0.0249594,-0.0346466,-0.671213,0.334607,0.194319,0.732253,-0.301237,0
s114,0.762686,0.58169,0,1,0,0.733776,1.47514,1.39913,-0.301735,1.64371,0.916935,-1.0378,-0.775859,0.818671,1.86455,-0.997796,0.585187,0
s115,0.806269,0.65007,0,1,0,-1.11083,-0.84106,-0.281389,0.00913555,-1.32014,-0.862864,0.501893,-0.253854,0.172148,0.679669,-1.76097,0.600899,0
s116,-0.39628,0.157038,0,0,1,-0.22892,0.669696,-1.75695,0.882712,-0.131837,0.551509,0.566688,2.18989,1.24855,0.630097,-0.601037,0.150186,0
s117,1.94395,3.77895,0,0,0,-0.962421,0.803722,1.08086,-0.910056,-0.155304,1.7095,0.0233814,1.17509,-0.985365,1.34598,0.377581,-0.214785,0
s118,-1.2038,1.44914,0,1,0,0.0502809,-0.0236006,0.539847,-1.99612,-1.56041,-0.0816193,-1.02789,-0.0910418,-1.52526,-1.11978,0.973807,0.0952362,0
s119,-0.691194,0.477749,0,1,0,0.463472,-1.53771,-0.0647047,-0.154474,-0.0810522,0.351169,-1.04057,-0.805125,-0.880178,-1.43418,-0.86866,-2.26584,0
s120,-2.56668,6.58784,1,0,0,-1.01398,-0.216976,-1.15031,1.48751,1.46611,1.22689,-0.456077,1.93648,-0.0055734,0.653034,-1.13404,-0.730687,0
s121,-1.50633,2.26904,1,0,1,0.217228,-0.00667378,0.159952,0.00986121,1.19554,-1.2652,-0.720526,0.697882,-0.575809,1.38179,0.595847,-0.182284,0
s122,0.541085,0.292773,1,0,0,1.45257,0.541904,-0.795642,1.23687,-1.16903,-0.115601,0.0174225,0.408971,0.45613,0.388888,0.759919,-0.663649,0
s123,-0.767501,0.589058,1,0,0,0.139278,-0.135051,0.587008,1.21454,0.747826,-0.145866,0.707455,0.633987,1.52125,-1.37791,0.186915,-1.11205,0
s124,1.36759,1.87029,1,1,0,0.88953,0.145042,-0.0923382,0.537219,0.549967,0.233615,0.538312,-1.33191,-1.05514,1.41769,-0.198024,-1.12227,0
s125,1.25771,1.58183,1,0,0,1.67796,-0.432028,-0.263222,0.00601388,-0.456541,-0.380454,-1.30748,-1.57059,-1.45135,0.158638,0.203369,-1.94286,0
s126,-0.0523848,0.00274417,0,0,1,-1.18721,-0.927972,0.250716,0.796834,1.35486,0.255805,-1.39034,0.847096,-0.120206,0.661651,-1.90351,0.521087,0
s127,0.779476,0.607582,1,0,0,-2.53888,-2.38605,-2.02667,-1.32717,0.0132363,1.19571,1.91727,-0.0044466,-1.60418,0.296092,0.635632,0.302429,1
s128,-0.587907,0.345635,1,0,0,-0.891435,-0.691857,0.00275744,-0.894073,1.20755,-1.12839,0.1896,-0.15423,-0.546764,-0.544919,0.00355063,0.0516342,0
s129,-0.852343,0.726489,1,1,0,0.015179,0.833684,-0.0681739,-0.325889,-0.868818,-2.64749,-2.86242,-0.781177,-0.364164,0.167299,0.800732,0.0143093,0
s130,1.0139,1.02798,1,1,0,0.575664,2.41681,-1.08007,1.86077,0.529532,-0.563598,2.17967,0.581001,1.28432,0.332422,0.767184,-0.925744,0
s131,-0.134202,0.0180101,1,0,0,0.0800153,-0.636773,-0.610949,-0.704172,-1.2432,-1.13691,0.175467,0.656416,-1.56124,0.981064,-0.00744678,-0.837616,0
s132,0.386326,0.149248,0,0,1,0.962192,0.631435,-0.356097,-0.467783,0.929394,0.763126,0.296304,-0.676984,-0.694465,0.217638,0.0005996,0.0377446,1
s133,0.114203,0.0130423,0,1,0,-0.456433,-1.47518,-0.47693,0.0216044,-0.371932,-0.721216,-0.21806,-0.0130247,-1.06412,0.493307,-1.03332,-0.209187,0
s134,-0.00789559,6.23403e-05,0,0,0,1.25189,1.32157,0.779454,-2.13356,0.0128823,-0.889288,-0.741225,-0.897696,1.32463,-0.580457,0.9139,-2.19678,0
s135,-2.24996,5.06233,0,0,1,0.454569,1.3978,-1.19887,2.08124,-0.562723,-0.512373,1.6815,0.263183,-1.34115,1.1495,-0.495203,-0.379565,0
s136,0.901902,0.813427,0,0,1,-1.05491,0.580954,0.401852,0.0367525,-1.24511,0.285916,-1.21687,0.335623,0.78855,-0.461929,-0.946104,-0.393612,0
s137,0.895249,0.801471,0,0,0,0.0497901,0.142172,0.364531,-0.685987,1.10912,-0.704207,0.0418438,1.16823,-1.12069,0.140777,0.844592,1.13001,0
s138,-1.71328,2.93532,1,0,0,0.740114,-0.62135,1.86422,-0.211754,-0.0554172,0.48573,0.0355348,-1.39,0.107337,0.0217629,0.480279,0.0770084,0
s139,-1.49905,2.24714,1,0,0,0.305129,-0.757989,-0.790021,-0.615605,-0.831196,0.595095,-1.98494,1.0372,1.11643,-0.0747334,0.913349,-0.434084,0
s140,-0.37188,0.138294,1,0,1,0.504702,0.454844,0.522696,0.345131,-1.86011,-0.661952,-0.515643,-0.388616,-0.288727,0.886803,1.21963,-0.975046,1
s141,0.16076,0.0258438,0,0,0,1.62339,1.3755,-2.32496,-0.42183,1.03727,-0.189311,0.632462,-0.610406,0.629826,0.947917,1.24291,-0.44593,0
s142,0.129011,0.0166439,1,0,1,-1.54257,-0.707608,0.696228,0.892518,0.583458,0.806557,-0.495989,-0.7295,0.660568,1.09534,1.32563,0.725867,1
s143,-0.144183,0.0207889,0,1,0,-0.139499,-0.233551,1.66823,-1.78289,0.636082,0.249389,0.0984157,-0.277313,1.64991,-0.95507,-1.40716,-0.884312,0
s144,1.27455,1.62447,1,1,0,-1.0096,0.562921,0.890025,1.12392,0.00550472,0.525225,-0.857516,-0.412878,-0.475266,0.370561,-1.28492,0.830345,0
s145,-0.521447,0.271907,1,1,0,-0.291668,0.0658129,0.948427,-0.527932,0.386206,0.0970244,0.161457,0.313706,1.62747,-2.08293,-1.52736,-0.582441,0
s146,-0.56544,0.319723,0,1,0,0.894131,1.28978,0.568128,1.28753,-0.698099,-0.374441,-0.0629035,-1.11685,-0.664883,1.55062,-0.227955,-0.0618522,0
s147,-1.45912,2.12902,0,1,0,0.566142,-0.73809,0.242877,1.1235,0.334635,1.06341,-2.25122,-0.320851,-2.2457,-0.0354698,-0.184995,1.51205,0
s148,-0.705039,0.497079,0,1,0,-0.872037,0.816882,-0.0619935,0.670643,-0.0104148,-1.17428,0.252744,-1.02956,-0.66802,2.37508,1.05748,-0.0686959,0
s149,0.725877,0.526897,0,0,0,0.410739,-0.401697,-0.833059,-0.383834,1.74482,0.831296,0.306998,0.272539,0.00510657,-0.781408,0.121729,0.393923,0
s150,0.762105,0.580805,1,1,0,0.418102,-1.5139,1.09781,-0.502112,-0.610242,-1.02903,1.43135,-0.068228,0.873898,-0.421382,-0.584084,0.910086,0
s151,-0.420483,0.176806,0,0,1,-0.992958,-1.12699,-0.509187,1.22953,-0.2066,0.901375,-1.01497,-0.514989,1.77339,-1.39023,2.02526,-0.881766,1
s152,1.00458,1.00919,1,0,0,0.778213,-0.557125,-0.267723,-0.711288,0.617833,-0.73458,0.156956,0.700272,2.3533,0.474914,-0.922874,2.55955,0
s153,0.118323,0.0140002,1,0,0,-0.188828,0.74966,-0.606117,-0.254718,-0.361088,1.22365,-0.172367,-1.01142,0.273237,-1.48379,-0.0564224,0.862362,0
s154,-0.0326932,0.00106885,1,0,0,0.817268,1.58408,-1.05573,1.00489,-0.371146,-1.24779,0.366797,0.949377,-1.83753,-0.859025,-0.729188,-0.300321,0
s155,0.680369,0.462902,0,0,1,-1.17482,1.05297,0.267361,-0.0269066,2.09667,0.514784,0.629721,0.206978,0.206424,-0.293246,0.277385,0.43044,0
